id,material_nr,Brand,material_desc,Currency,price
1,18307300,kyocera,"KYOCERA PULLEY 20P2M,MOTOR",usd,7.2
2,18307370,kyocera,"KYOCERA PULLEY 25/18P2M,PAPER FEED",usd,2.4
3,19052100,kyocera,"KYOCERA SWITCH ,MAIN (RC)",usd,15.6
4,19507050,kyocera,"KYOCERA LEVER,CASSETTE BASE RELEASE",usd,1.2
5,19514130,kyocera,"KYOCERA GEAR,DEVELOPING IDLE",usd,1.2
6,19522180,kyocera,KYOCERA GEAR 28,usd,1.2
7,20305130,kyocera,"KYOCERA LABEL L,HIGH TEMPERATURE CAUTION(EXP)",usd,16.8
8,20370020,kyocera,KYOCERA NEW COLOR CHART,usd,10.8
9,213+4410,kyocera,"KYOCERA BUSH,CUTTER",usd,3.6
10,27302160,kyocera,"KYOCERA SPRING,RELEASE LEVER",usd,1.2
11,28107310,kyocera,KYOCERA BUSH 8,usd,1.2
12,28220440,kyocera,"KYOCERA SPRING,PAPER GUIDE",usd,1.2
13,28801190,kyocera,"KYOCERA PULLEY,TIMING BELT",usd,2.4
14,29116050,kyocera,"KYOCERA GEAR 17,PF BELT ROLLER",usd,1.2
15,29236240,kyocera,"KYOCERA SOCKET ASS'Y,KEY COUNTER",usd,51.6
16,29407191,kyocera,"KYOCERA TENSION SPRING,PF",usd,1.2
17,29415100,kyocera,"KYOCERA GEAR,TONER ROLLER",usd,1.2
18,29806560,kyocera,KYOCERA BUSHING 6,usd,1.2
19,29807100,kyocera,"KYOCERA GEAR 16,BYPASS",usd,1.2
20,29812291,kyocera,"KYOCERA CUSHION,CONTACT GLASS",usd,1.2
21,2A002170,kyocera,KYOCERA CASTER UA,usd,8.4
22,2A116180,kyocera,KYOCERA BUSHING TRANSFER,usd,1.2
23,2A118370,kyocera,"KYOCERA PULLEY,DRUM SEPARATION",usd,1.2
24,2A360010,kyocera,"KYOCERA COVER,KEY COUNTER",usd,26.4
25,2A627930,kyocera,KYOCERA CORE 11-25X14,usd,9.6
26,2A627940,kyocera,KYOCERA CORE 10-20X10,usd,6.0
27,2AC06230,kyocera,"KYOCERA CLUTCH,RESISTRATION",usd,22.8
28,2AC07450,kyocera,"KYOCERA SPRING,FEED",usd,1.2
29,2AC18280,kyocera,"KYOCERA GEAR 20,SPIRAL",usd,1.2
30,2AC18300,kyocera,"KYOCERA SPRING,CLEANING",usd,1.2
31,2AC26310,kyocera,"KYOCERA SHIELD 10X8X20,GASKET",usd,1.2
32,2AL06110,kyocera,KYOCERA GEAR 25,usd,1.2
33,2AR02250,kyocera,"KYOCERA POSITIONING PLATE,LSU",usd,1.2
34,2AR07220,kyocera,"KYOCERA PULLEY,PAPER FEED",usd,14.4
35,2AR07230,kyocera,"KYOCERA PULLEY,SEPARATION",usd,3.6
36,2AR07470,kyocera,"KYOCERA LOWER LEFT GUIDE,VERTICAL CONVEYING",usd,6.0
37,2AR07660,kyocera,"KYOCERA GUIDE FILM,SEPARATION PULLEY",usd,1.2
38,2AR07710,kyocera,"KYOCERA MOUNT,PAPER FEED DRAWER",usd,1.2
39,2AR18240,kyocera,"KYOCERA CLAW,SEPARATION",usd,2.4
40,2AR18280,kyocera,"KYOCERA SPRING,CLAW SEPARATION",usd,1.2
41,2AR27040,kyocera,"KYOCERA SWITCH,INTERLOCK",usd,10.8
42,2AV12280,kyocera,"KYOCERA BASE RUBBER,SCANNER SECTION",usd,1.2
43,2AV27350,kyocera,"KYOCERA INLET,POWER SOURCE",usd,2.4
44,2AV60020,kyocera,KYOCERA DISPOSAL TANK ASS'Y,usd,30.0
45,2AV73580,kyocera,"KYOCERA LABEL,TONER DISPOSAL TANK HK",usd,1.2
46,2BC06510,kyocera,KYOCERA BUSHING 8,usd,1.2
47,2BC06520,kyocera,"KYOCERA BUSHING 6,REGISTRATION",usd,1.2
48,2BC06910,kyocera,KYOCERA STOPPER 6,usd,1.2
49,2BC06980,kyocera,KYOCERA STOPPER 5,usd,1.2
50,2BC06990,kyocera,"KYOCERA STOPPER 5,RING",usd,1.2
51,2BC07020,kyocera,"KYOCERA FRONT PULLEY,LIFT DRIVE",usd,2.4
52,2BC07110,kyocera,KYOCERA GEAR 20,usd,2.4
53,2BC07120,kyocera,"KYOCERA SPACER,DECK LIFT",usd,1.2
54,2BC12190,kyocera,"KYOCERA SPRING,MIRROR HOLDER",usd,21.6
55,2BC16470,kyocera,"KYOCERA SPRING,CONVEYING HOOK",usd,1.2
56,2BC21420,kyocera,"KYOCERA PULLEY 20,SWITCH BACK",usd,2.4
57,2BC22150,kyocera,"KYOCERA GEAR 24,REGISTRATION",usd,2.4
58,2BC22290,kyocera,"KYOCERA GEAR 68,PAPER FEED",usd,2.4
59,2BG06150,kyocera,KYOCERA SHAFT FEED B,usd,1.2
60,2BG06480,kyocera,KYOCERA BAND B,usd,1.2
61,2BG07420,kyocera,KYOCERA PULLEY SEPARATOR 23 B,usd,2.4
62,2BG20520,kyocera,KYOCERA CLUTCH CLN,usd,4.8
63,2BG22930,kyocera,KYOCERA CUT WASHER 6,usd,1.2
64,2BG22960,kyocera,KYOCERA BUSH 6,usd,1.2
65,2BG22970,kyocera,KYOCERA BUSH 6 EW,usd,1.2
66,2BG22990,kyocera,KYOCERA CUT WASHER 4,usd,1.2
67,2BJ02110,kyocera,"KYOCERA FULCRUM PLATE,MIDDLE TRAY",usd,1.2
68,2BJ02121,kyocera,"KYOCERA HOLDER,FULCRUM",usd,2.4
69,2BJ04520,kyocera,KYOCERA FRONT PLATE EXIT L,usd,2.4
70,2BJ06010,kyocera,KYOCERA PULLEY FEED A,usd,3.6
71,2BJ21011,kyocera,KYOCERA GUIDE CHANGE UP,usd,44.4
72,2BJ21021,kyocera,KYOCERA LEVER GUIDE CHANGE U,usd,2.4
73,2BJ21030,kyocera,KYOCERA SPRING CHANGE UP,usd,2.4
74,2BJ21040,kyocera,KYOCERA LEVER CHANGE UP B,usd,1.2
75,2BJ22020,kyocera,"KYOCERA COUPLING C,CONT.",usd,2.4
76,2BJ26210,kyocera,KYOCERA SHIELD SUBWIRE,usd,7.2
77,2BJ60030,kyocera,KYOCERA REAR FRAME DECURL C,usd,22.8
78,2BL02150,kyocera,KYOCERA MOUNT RIGHT HANDLE,usd,3.6
79,2BL02230,kyocera,KYOCERA MOUNT FAN,usd,4.8
80,2BL02240,kyocera,KYOCERA SPONGE FAN,usd,1.2
81,2BL04060,kyocera,KYOCERA FRONT MOUNT COVER,usd,7.2
82,2BL04170,kyocera,KYOCERA LEFT TOP COVER,usd,19.2
83,2BL04181,kyocera,KYOCERA REAR TOP COVER,usd,15.6
84,2BL04200,kyocera,KYOCERA LEVER CONT RELEASE,usd,4.8
85,2BL04220,kyocera,KYOCERA MOUNT HINGE,usd,7.2
86,2BL04250,kyocera,KYOCERA COVER LCD,usd,4.8
87,2BL04310,kyocera,KYOCERA PLATE NUMBER,usd,2.4
88,2BL04330,kyocera,KYOCERA HOLDER SWITCH,usd,1.2
89,2BL04350,kyocera,KYOCERA FRONT HINGE COVER P,usd,6.0
90,2BL04370,kyocera,KYOCERA PLATE NUMBER 2,usd,2.4
91,2BL04450,kyocera,KYOCERA GROUND PLATE INNER L,usd,2.4
92,2BL04460,kyocera,KYOCERA SPACER WIRE,usd,1.2
93,2BL04470,kyocera,KYOCERA MOUNT HINGE S,usd,3.6
94,2BL04480,kyocera,KYOCERA FRONT HINGE S COVER,usd,7.2
95,2BL04550,kyocera,KYOCERA LEVER L COVER LOCK M,usd,1.2
96,2BL04560,kyocera,KYOCERA SPRING L COVER LOCK,usd,2.4
97,2BL04600,kyocera,KYOCERA LEVER COVER RELEASE,usd,2.4
98,2BL04660,kyocera,KYOCERA FRONT PLATE EXIT L,usd,1.2
99,2BL04670,kyocera,KYOCERA REAR PLATE EXIT L,usd,1.2
100,2BL04680,kyocera,KYOCERA STRAP COVER,usd,7.2
101,2BL04700,kyocera,KYOCERA GROUND PLATE LEFT B,usd,2.4
102,2BL04880,kyocera,KYOCERA FILM HINGE,usd,1.2
103,2BL06020,kyocera,KYOCERA GUIDE A FEED,usd,25.2
104,2BL06051,kyocera,KYOCERA FRONT RAIL FEED,usd,7.2
105,2BL06061,kyocera,KYOCERA REAR RAIL FEED,usd,6.0
106,2BL06110,kyocera,KYOCERA GUIDE VERTICAL FEED,usd,7.2
107,2BL06130,kyocera,KYOCERA MOUNT C FEED DRIVE,usd,6.0
108,2BL06150,kyocera,KYOCERA GEAR Z28 FEED,usd,2.4
109,2BL06160,kyocera,KYOCERA GEAR Z35-15 FEED,usd,4.8
110,2BL06170,kyocera,KYOCERA GEAR Z42 FEED,usd,2.4
111,2BL06180,kyocera,KYOCERA GEAR Z28-P18 FEED,usd,2.4
112,2BL06190,kyocera,KYOCERA GEAR Z25 FEED,usd,2.4
113,2BL06220,kyocera,KYOCERA EARTH VERTICAL FEED,usd,3.6
114,2BL06230,kyocera,KYOCERA GROUND PLATE A FEED,usd,1.2
115,2BL06260,kyocera,KYOCERA FRONT GUIDE REGIST,usd,48.0
116,2BL06320,kyocera,KYOCERA BELT CONVEYING,usd,6.0
117,2BL06330,kyocera,KYOCERA GUIDE B FEED,usd,9.6
118,2BL06340,kyocera,KYOCERA SPRING FEED,usd,1.2
119,2BL06360,kyocera,KYOCERA GEAR Z42 BYPASS,usd,2.4
120,2BL06380,kyocera,KYOCERA GEAR Z25 JOINT,usd,2.4
121,2BL06410,kyocera,KYOCERA GROUND PLATE MIDDLE,usd,1.2
122,2BL06430,kyocera,KYOCERA COVER CONNECTOR,usd,1.2
123,2BL06440,kyocera,KYOCERA MOUNT REGIST SWITCH,usd,2.4
124,2BL06450,kyocera,KYOCERA HOLDER FEED SWITCH,usd,2.4
125,2BL06460,kyocera,KYOCERA SPRING LEFT COVER,usd,1.2
126,2BL06480,kyocera,KYOCERA FILM REGIST F,usd,2.4
127,2BL06590,kyocera,KYOCERA PULLEY RAIL,usd,3.6
128,2BL06680,kyocera,KYOCERA CAM BYPASS,usd,2.4
129,2BL06690,kyocera,KYOCERA MOUNT BYPASSDRIVE,usd,36.0
130,2BL06720,kyocera,KYOCERA GEAR 55/15,usd,4.8
131,2BL06730,kyocera,KYOCERA ACTUATOR BYPASSFEED,usd,4.8
132,2BL06780,kyocera,KYOCERA SPRING BYPASSFEED,usd,1.2
133,2BL06800,kyocera,KYOCERA SPRING BYPASS,usd,2.4
134,2BL06810,kyocera,KYOCERA BELT BYPASSFEED,usd,6.0
135,2BL06820,kyocera,KYOCERA PULLEY25 BYPASSFEED,usd,2.4
136,2BL06830,kyocera,KYOCERA DIAL BYPASSFEED,usd,1.2
137,2BL06840,kyocera,KYOCERA SPRING BYPASS RET,usd,1.2
138,2BL06850,kyocera,KYOCERA JOINT RETARD,usd,8.4
139,2BL06860,kyocera,KYOCERA SPRING RETARD,usd,2.4
140,2BL06870,kyocera,KYOCERA SPRING JOINTRETARD,usd,2.4
141,2BL06880,kyocera,KYOCERA FILM BYPASS,usd,1.2
142,2BL06890,kyocera,KYOCERA PLATE BYPASS HOLD,usd,1.2
143,2BL06940,kyocera,KYOCERA EARTH PUSH SWITCH,usd,3.6
144,2BL06950,kyocera,KYOCERA DUMPER LEFT COVER,usd,80.4
145,2BL06960,kyocera,KYOCERA STRAP RELEASE,usd,2.4
146,2BL06970,kyocera,KYOCERA FILM REGIST FF,usd,1.2
